text,label
"The stock market had a great day, investors are happy",finance
"Quarterly earnings beat expectations",finance
"Central bank raises interest rates to curb inflation",finance
"Major insurer announces new policy discounts",finance
"Investment firm opens a new technology fund",finance
"Local team wins the championship after a close game",sports
"Coach announces lineup for the season opener",sports
"Star player signs a multi-year contract",sports
"High school basketball tournament starts this weekend",sports
"Tennis tournament final ends in a thrilling comeback",sports
"New smartphone released with improved battery life",tech
"Open-source project reached 10k stars on GitHub",tech
"Software update adds advanced camera features",tech
"Start-up launches a productivity app for remote teams",tech
"Cybersecurity researchers patch a critical vulnerability",tech
"New study shows benefits of a healthy diet",health
"Doctors recommend regular exercise for longevity",health
"Health officials warn against seasonal flu outbreak",health
"Nutritionists share tips for balanced meal planning",health
"Meditation can lower stress and improve sleep quality",health
